Kategorie: Alle Kategorien

Region,Audi A8: (2013),Audi A3: (2013),Audi A4: (2013),Audi A5: (2013),Audi A6: (2013)
Saarland,10,97,100,25,55
Thüringen,11,79,99,15,68
Bayern,13,80,95,21,57
Sachsen,13,67,92,14,64
Niedersachsen,16,72,92,21,65
Sachsen-Anhalt,13,64,89,14,63
Mecklenburg-Vorpommern,12,56,87,15,66
Rheinland-Pfalz,12,77,85,21,53
Brandenburg,12,59,85,13,58
Baden-Württemberg,12,74,84,20,54
Schleswig-Holstein,14,56,78,14,58
Hessen,12,69,75,21,52
Bremen,14,58,72,18,58
Hamburg,14,62,72,18,52
Nordrhein-Westfalen,12,66,70,19,50
Berlin,11,46,55,12,42
