Kategorie: Alle Kategorien

Region,Grau: (2014),Schwarz: (2014),Weiß: (2014),Silber: (2014),Blau: (2014)
Saarland,24,100,73,27,59
Thüringen,19,79,89,23,44
Bremen,22,85,69,24,37
Brandenburg,17,85,78,23,43
Bayern,19,85,66,23,37
Nordrhein-Westfalen,21,85,70,22,41
Rheinland-Pfalz,20,84,66,23,39
Mecklenburg-Vorpommern,19,83,78,24,43
Sachsen-Anhalt,17,83,81,24,43
Baden-Württemberg,19,83,62,21,35
Niedersachsen,20,80,66,22,39
Schleswig-Holstein,22,79,71,23,40
Hessen,19,79,63,22,36
Hamburg,22,78,65,23,39
Sachsen,16,77,74,21,41
Berlin,17,76,62,20,40
